,PRECTOT,QV2M,PS,TS,KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN
59,0.59,0.006894,98.93,14.72,0.61,4.12,7.73
60,0.0,0.004608,98.9,13.38,0.76,5.11,6.59
61,0.0,0.004772,98.83,13.35,0.76,5.11,6.59
62,0.06,0.003584000000000001,98.82,12.25,0.7,4.78,6.47
63,0.16,0.003831,98.75,12.2,0.7,4.78,6.47
64,0.0,0.003343,98.95,12.71,0.6,4.1,7.14
65,0.0,0.0033590000000000004,98.89,12.57,0.6,4.1,7.14
66,0.0,0.003347,98.96,14.23,0.37,2.57,8.44
67,0.0,0.003354,98.91,13.64,0.37,2.57,8.44
68,0.0,0.003932,98.96,15.22,0.62,4.3,7.03
69,0.0,0.003782,98.91,14.97,0.62,4.3,7.03
70,0.1,0.004436,98.97,16.07,0.61,4.25,6.88
71,0.04,0.004226,98.92,15.63,0.61,4.25,6.88
72,0.0,0.0042840000000000005,99.05,14.6,0.65,4.56,8.21
73,0.0,0.004452,98.99,14.43,0.65,4.56,8.21
74,0.0,0.004188,99.03,15.07,0.76,5.4,6.66
75,0.0,0.00428,98.97,15.27,0.76,5.4,6.66
76,0.0,0.004293,99.1,15.56,0.77,5.48,7.27
77,0.0,0.004144,99.07,15.08,0.77,5.48,7.27
78,2.77,0.007143000000000002,99.15,13.66,0.14,0.98,8.27
79,2.64,0.006599,99.13,12.75,0.14,0.98,8.27
80,19.18,0.009661,98.97,15.43,0.28,2.03,8.66
81,21.9,0.009506,98.95,14.4,0.28,2.03,8.66
82,4.97,0.008661,99.22,14.26,0.23,1.69,8.32
83,5.53,0.008643000000000001,99.19,13.79,0.23,1.69,8.32
84,0.0,0.007941,98.97,16.16,0.35,2.56,8.16
85,0.0,0.007838,98.93,16.16,0.35,2.56,8.16
86,0.35,0.00777,98.95,17.43,0.53,3.94,8.23
87,0.51,0.00777,98.91,17.34,0.53,3.94,8.23
88,0.83,0.008051,98.98,15.52,0.58,4.28,8.63
89,1.35,0.008088,98.92,15.42,0.58,4.28,8.63
90,0.08,0.0054670000000000005,99.03,15.36,0.68,5.09,6.83
91,0.7,0.005538,98.97,15.02,0.68,5.09,6.83
92,0.93,0.004365,98.91,13.76,0.77,5.84,6.67
93,0.9,0.004273,98.84,13.49,0.77,5.84,6.67
94,0.0,0.004378,98.97,15.12,0.77,5.84,6.7
95,0.0,0.004321,98.91,14.67,0.77,5.84,6.7
96,0.0,0.005167000000000001,99.08,17.27,0.75,5.76,7.19
97,0.0,0.005171,99.04,16.99,0.75,5.76,7.19
98,0.0,0.005221,99.05,16.65,0.77,5.96,7.11
99,0.0,0.005194,98.99,16.46,0.77,5.96,7.11
100,0.0,0.005231,98.89,18.2,0.45,3.47,9.05
101,0.0,0.005047,98.85,17.81,0.45,3.47,9.05
102,0.27,0.006520000000000001,98.83,18.94,0.16,1.25,8.52
103,0.59,0.006446,98.81,17.91,0.16,1.25,8.52
104,0.05,0.0062770000000000005,99.0,16.72,0.61,4.77,7.38
105,0.01,0.006375,98.94,16.47,0.61,4.77,7.38
106,0.1,0.005220000000000001,98.99,15.66,0.68,5.38,6.72
107,0.28,0.005372999999999999,98.92,15.44,0.68,5.38,6.72
108,0.0,0.004227000000000001,98.94,15.62,0.73,5.82,7.02
109,0.0,0.0043,98.88,15.46,0.73,5.82,7.02
110,0.0,0.004019,98.93,15.71,0.77,6.19,6.96
111,0.0,0.0041670000000000006,98.86,15.77,0.77,6.19,6.96
112,0.0,0.003769,98.97,15.25,0.76,6.12,7.16
113,0.0,0.003783,98.9,15.35,0.76,6.12,7.16
114,0.0,0.003859000000000001,98.81,16.51,0.78,6.32,6.84
115,0.0,0.003847,98.75,16.16,0.78,6.32,6.84
116,0.0,0.004253,98.77,18.11,0.73,6.01,7.31
117,0.0,0.004261,98.71,17.6,0.73,6.01,7.31
118,0.0,0.004625,98.84,18.59,0.79,6.47,6.96
119,0.0,0.004568,98.78,18.33,0.79,6.47,6.96
120,0.0,0.004574,98.98,18.57,0.62,5.17,7.17
121,0.0,0.004654999999999999,98.91,18.42,0.62,5.17,7.17
122,0.0,0.004229,99.02,18.72,0.6,5.03,7.49
123,0.0,0.004219,98.95,18.59,0.6,5.03,7.49
124,0.0,0.004636,98.91,20.16,0.53,4.41,8.76
125,0.0,0.004688,98.85,20.0,0.53,4.41,8.76
126,0.0,0.004897,98.78,20.98,0.69,5.79,7.35
127,0.0,0.00495,98.73,20.85,0.69,5.79,7.35
128,0.0,0.00513,98.76,21.41,0.73,6.2,8.2
129,0.0,0.005208,98.72,21.15,0.73,6.2,8.2
130,0.0,0.005651,98.72,22.95,0.76,6.52,7.43
131,0.0,0.00558,98.67,22.32,0.76,6.52,7.43
132,0.0,0.005187,98.72,22.65,0.72,6.24,7.94
133,0.0,0.005023,98.67,22.03,0.72,6.24,7.94
134,0.0,0.006165,98.69,24.22,0.75,6.54,8.39
135,0.0,0.006343,98.64,23.74,0.75,6.54,8.39
136,0.0,0.007344,98.5,26.53,0.57,4.98,9.6
137,0.0,0.007117,98.46,26.18,0.57,4.98,9.6
138,0.0,0.007348,98.39,26.2,0.72,6.31,8.41
139,0.0,0.007587000000000002,98.36,25.88,0.72,6.31,8.41
140,0.07,0.006846,98.41,24.83,0.58,5.15,8.05
141,0.09,0.0072590000000000016,98.36,24.65,0.58,5.15,8.05
142,0.36,0.006166,98.48,25.04,0.58,5.18,8.7
143,1.03,0.006628,98.45,24.22,0.58,5.18,8.7
144,0.53,0.006603,98.24,24.84,0.64,5.7,7.94
145,0.61,0.006792,98.2,24.55,0.64,5.7,7.94
146,0.0,0.005274,98.27,22.23,0.78,6.98,7.21
147,0.0,0.005409000000000001,98.22,21.7,0.78,6.98,7.21
148,0.68,0.004492,98.47,20.14,0.77,6.99,8.37
149,1.75,0.004678,98.41,19.75,0.77,6.99,8.37
150,0.0,0.004413,98.47,20.74,0.33,2.96,9.6
151,0.0,0.004784,98.45,19.53,0.33,2.96,9.6
152,1.58,0.007705,98.25,22.57,0.57,5.16,9.33
153,1.33,0.008009,98.25,21.04,0.57,5.16,9.33
154,0.08,0.004968,98.36,21.04,0.74,6.81,8.59
155,0.9,0.005468,98.31,20.44,0.74,6.81,8.59
156,0.99,0.003702,98.55,19.27,0.8,7.39,6.66
157,1.94,0.00402,98.49,18.75,0.8,7.39,6.66
158,0.01,0.003856,98.54,21.15,0.54,4.97,9.21
159,0.03,0.004176,98.51,20.29,0.54,4.97,9.21
160,0.04,0.00703,98.44,21.2,0.54,5.03,8.72
161,0.05,0.007364,98.41,21.26,0.54,5.03,8.72
162,0.0,0.006520999999999999,98.44,23.25,0.57,5.35,8.7
163,0.06,0.006639,98.4,22.99,0.57,5.35,8.7
164,1.17,0.005639,98.61,22.68,0.69,6.48,7.26
165,1.31,0.005815,98.56,22.14,0.69,6.48,7.26
166,0.0,0.004296,98.8,20.87,0.64,6.07,8.0
167,0.0,0.004469,98.73,20.69,0.64,6.07,8.0
168,0.0,0.004458,98.92,23.32,0.77,7.34,8.07
169,0.0,0.004657,98.86,23.02,0.77,7.34,8.07
170,0.0,0.005169,98.71,26.1,0.76,7.28,8.08
171,0.0,0.005569,98.64,25.82,0.76,7.28,8.08
172,0.0,0.005334,98.35,27.46,0.64,6.12,8.44
173,0.0,0.005942,98.3,27.11,0.64,6.12,8.44
174,0.0,0.005414,98.18,27.83,0.72,6.96,8.87
175,0.0,0.005822,98.14,27.16,0.72,6.96,8.87
176,0.0,0.0051600000000000005,98.16,28.44,0.35,3.39,10.26
177,0.0,0.005628,98.14,27.67,0.35,3.39,10.26
178,0.0,0.004909,98.16,26.5,0.56,5.43,8.71
179,0.0,0.00499,98.13,25.98,0.56,5.43,8.71
180,1.82,0.00481,98.28,26.16,0.54,5.27,9.3
181,2.09,0.005121,98.25,25.58,0.54,5.27,9.3
182,0.0,0.003797,98.26,27.36,0.54,5.26,9.35
183,0.0,0.00415,98.21,26.57,0.54,5.26,9.35
184,0.0,0.003455,98.41,26.08,0.71,7.0,7.97
185,0.0,0.003895000000000001,98.36,25.36,0.71,7.0,7.97
186,0.63,0.003669,98.65,24.95,0.76,7.5,8.19
187,0.64,0.003949,98.61,24.6,0.76,7.5,8.19
188,0.0,0.003152,98.68,24.76,0.76,7.58,7.46
189,0.0,0.003512,98.62,24.39,0.76,7.58,7.46
190,0.0,0.0031420000000000003,98.45,26.98,0.75,7.49,7.65
191,0.0,0.003486,98.4,26.31,0.75,7.49,7.65
192,0.0,0.003926,98.24,29.2,0.73,7.37,8.36
193,0.0,0.004619,98.2,28.35,0.73,7.37,8.36
194,0.0,0.005455,98.12,30.73,0.51,5.11,8.32
195,0.0,0.005725,98.07,29.97,0.51,5.11,8.32
196,0.0,0.006276,98.04,32.44,0.42,4.2,9.5
197,0.0,0.0064540000000000005,98.0,31.91,0.42,4.2,9.5
198,0.0,0.006795000000000001,98.2,33.3,0.5,5.03,10.45
199,0.0,0.007035,98.15,32.68,0.5,5.03,10.45
200,0.0,0.007790000000000002,98.34,31.97,0.51,5.18,9.52
201,0.0,0.008122,98.28,31.91,0.51,5.18,9.52
202,0.0,0.008084000000000001,98.23,33.17,0.5,5.13,9.75
203,0.07,0.008095,98.18,33.18,0.5,5.13,9.75
204,0.14,0.008281,98.1,33.68,0.6,6.17,9.18
205,0.33,0.008239,98.04,33.31,0.6,6.17,9.18
206,0.03,0.006732999999999999,98.31,33.88,0.67,6.88,8.75
207,0.13,0.006987,98.26,33.37,0.67,6.88,8.75
208,0.0,0.006259000000000001,98.34,31.83,0.72,7.42,8.92
209,0.0,0.006399,98.27,31.37,0.72,7.42,8.92
210,0.0,0.005312,98.08,32.62,0.63,6.59,9.95
211,0.0,0.005425999999999999,98.01,31.95,0.63,6.59,9.95
212,0.0,0.004032,97.76,31.82,0.77,7.97,7.94
213,0.0,0.004283,97.7,31.24,0.77,7.97,7.94
214,0.0,0.002965,97.77,31.08,0.54,5.62,8.53
215,0.0,0.00292,97.71,31.13,0.54,5.62,8.53
216,0.0,0.003262,97.99,32.46,0.53,5.58,8.3
217,0.0,0.003668,97.93,32.22,0.53,5.58,8.3
218,0.0,0.0035310000000000007,97.96,32.84,0.51,5.39,8.41
219,0.0,0.00368,97.89,32.49,0.51,5.39,8.41
220,0.0,0.003624,97.93,34.19,0.52,5.43,8.53
221,0.0,0.00375,97.86,33.9,0.52,5.43,8.53
222,0.0,0.003266,98.01,35.11,0.58,6.13,8.51
223,0.0,0.003351,97.97,34.76,0.58,6.13,8.51
224,0.0,0.003472,97.76,35.65,0.58,6.2,10.1
225,0.0,0.003484000000000001,97.71,35.1,0.58,6.2,10.1
226,0.0,0.004091,97.44,33.22,0.74,7.86,10.37
227,0.0,0.003913000000000001,97.4,32.6,0.74,7.86,10.37
228,0.0,0.005165,97.55,34.6,0.56,6.01,10.82
229,0.0,0.005205,97.51,34.25,0.56,6.01,10.82
230,0.0,0.004737,97.73,34.97,0.63,6.75,11.03
231,0.0,0.004893,97.7,34.39,0.63,6.75,11.03
232,2.17,0.004937,97.77,33.14,0.54,5.75,10.98
233,3.3,0.005429,97.74,32.45,0.54,5.75,10.98
234,0.92,0.005417,97.87,32.25,0.73,7.87,8.49
235,0.21,0.005672,97.85,31.76,0.73,7.87,8.49
236,0.01,0.0041270000000000005,97.98,31.53,0.53,5.76,8.64
237,0.05,0.004238,97.93,31.0,0.53,5.76,8.64
238,0.0,0.004348,98.13,32.67,0.54,5.81,8.37
239,0.0,0.004401,98.07,32.53,0.54,5.81,8.37
240,0.0,0.004765,98.01,34.72,0.55,5.92,11.07
241,0.0,0.004951,97.95,34.36,0.55,5.92,11.07
242,0.0,0.005489,97.93,36.34,0.72,7.82,9.14
243,0.0,0.005401,97.89,35.87,0.72,7.82,9.14
244,0.08,0.005014,97.98,35.84,0.54,5.88,8.97
245,0.02,0.004865,97.94,35.27,0.54,5.88,8.97
246,0.02,0.004619,97.98,33.37,0.53,5.79,9.84
247,0.01,0.004705,97.91,33.07,0.53,5.79,9.84
248,0.01,0.003678,97.76,34.0,0.54,5.86,8.65
249,0.04,0.003887,97.69,33.86,0.54,5.86,8.65
250,0.0,0.003026,97.65,35.79,0.53,5.83,8.74
251,0.0,0.003149,97.58,35.64,0.53,5.83,8.74
252,0.0,0.00301,97.69,36.29,0.52,5.7,9.23
253,0.0,0.00317,97.65,35.61,0.52,5.7,9.23
254,0.0,0.005928,97.88,36.46,0.59,6.43,10.92
255,0.0,0.005995,97.84,36.19,0.59,6.43,10.92
256,0.27,0.006287,97.79,37.33,0.6,6.63,10.76
257,0.37,0.006537,97.74,37.26,0.6,6.63,10.76
258,0.35,0.005117,97.62,37.11,0.61,6.76,10.84
259,0.75,0.005215999999999999,97.57,36.64,0.61,6.76,10.84
260,0.15,0.0065060000000000005,97.58,37.27,0.6,6.66,9.11
261,0.47,0.005723,97.54,36.57,0.6,6.66,9.11
262,0.0,0.005384000000000001,97.61,38.28,0.71,7.85,8.9
263,0.03,0.0052,97.56,37.48,0.71,7.85,8.9
264,0.0,0.005790999999999999,97.66,38.62,0.55,6.11,9.34
265,0.0,0.005807,97.6,38.3,0.55,6.11,9.34
266,1.07,0.005749,97.61,39.05,0.53,5.86,10.07
267,0.1,0.005457,97.55,38.53,0.53,5.86,10.07
268,0.65,0.00529,97.38,39.42,0.55,6.09,9.6
269,0.53,0.004567,97.32,38.78,0.55,6.09,9.6
270,0.07,0.005477,97.37,39.09,0.5,5.53,11.25
271,0.02,0.005025,97.35,38.7,0.5,5.53,11.25
272,0.48,0.006462000000000001,97.39,38.33,0.51,5.66,9.21
273,0.6,0.006025,97.35,37.66,0.51,5.66,9.21
274,0.25,0.004637,97.12,38.09,0.54,6.08,10.53
275,0.46,0.004368,97.08,37.63,0.54,6.08,10.53
276,0.0,0.005775,97.06,37.04,0.59,6.6,10.63
277,0.23,0.006279,97.02,36.6,0.59,6.6,10.63
278,0.4,0.004605,97.4,35.83,0.56,6.29,9.21
279,1.56,0.006802,97.36,35.47,0.56,6.29,9.21
280,0.05,0.00242,97.84,32.42,0.53,5.92,8.61
281,0.12,0.003367,97.78,32.08,0.53,5.92,8.61
282,0.05,0.002553,98.17,32.67,0.73,8.15,8.04
283,0.24,0.002954,98.14,31.83,0.73,8.15,8.04
284,0.0,0.003283,98.09,33.53,0.55,6.16,7.93
285,0.0,0.00349,98.04,32.83,0.55,6.16,7.93
286,0.0,0.002482,97.78,34.18,0.54,6.13,8.26
287,0.0,0.002636,97.72,33.53,0.54,6.13,8.26
288,0.0,0.0024010000000000004,97.6,35.91,0.52,5.88,9.46
289,0.0,0.002594,97.55,35.24,0.52,5.88,9.46
290,0.0,0.004723,97.5,37.82,0.16,1.76,9.75
291,0.0,0.004412,97.44,37.39,0.16,1.76,9.75
292,12.95,0.011543,97.81,34.56,0.57,6.39,9.86
293,13.23,0.011405,97.77,33.7,0.57,6.39,9.86
294,0.0,0.01147,98.08,34.84,0.33,3.68,9.46
295,0.0,0.010455,98.04,34.58,0.33,3.68,9.46
296,0.02,0.010971,98.0,35.97,0.57,6.39,9.97
297,0.02,0.009723,97.97,35.25,0.57,6.39,9.97
298,0.66,0.008246999999999999,97.89,35.51,0.65,7.34,10.31
299,0.21,0.007208,97.85,35.15,0.65,7.34,10.31
300,0.06,0.008245,97.98,36.54,0.47,5.34,10.56
301,0.32,0.007992,97.97,36.12,0.47,5.34,10.56
302,0.68,0.006973999999999999,98.15,34.99,0.53,6.02,8.56
303,1.14,0.006868000000000001,98.1,34.37,0.53,6.02,8.56
304,0.4,0.006940000000000001,98.02,34.42,0.46,5.25,9.32
305,1.32,0.007166,97.96,33.61,0.46,5.25,9.32
306,0.0,0.007123999999999998,97.65,35.85,0.63,7.2,9.54
307,0.0,0.0072879999999999985,97.59,35.1,0.63,7.2,9.54
308,0.01,0.007665000000000002,97.59,36.81,0.52,5.95,10.43
309,0.01,0.007078,97.54,36.42,0.52,5.95,10.43
310,0.29,0.0063560000000000005,97.68,36.8,0.52,5.91,9.54
311,0.09,0.00628,97.62,36.37,0.52,5.91,9.54
312,0.58,0.006232,97.56,36.61,0.52,5.87,10.25
313,0.71,0.006038,97.49,36.19,0.52,5.87,10.25
314,0.01,0.007318000000000002,97.53,37.77,0.53,5.98,9.43
315,0.01,0.006775,97.45,37.74,0.53,5.98,9.43
316,0.0,0.005276,97.58,37.97,0.52,5.94,9.56
317,0.0,0.005006,97.52,37.8,0.52,5.94,9.56
318,0.0,0.004446,97.44,38.08,0.55,6.21,8.86
319,0.0,0.004198,97.36,37.69,0.55,6.21,8.86
320,0.0,0.004849,97.15,40.11,0.61,6.92,9.19
321,0.0,0.004784,97.07,39.71,0.61,6.92,9.19
322,0.0,0.006344,97.27,39.81,0.65,7.36,11.49
323,0.0,0.006106,97.2,39.57,0.65,7.36,11.49
324,0.0,0.00951,97.27,40.04,0.55,6.21,12.12
325,0.0,0.008591,97.2,39.66,0.55,6.21,12.12
326,0.0,0.009341,97.12,41.26,0.5,5.69,11.38
327,0.0,0.009173,97.04,41.1,0.5,5.69,11.38
328,0.0,0.009017,97.11,41.95,0.3,3.39,10.62
329,0.0,0.008795,97.05,41.64,0.3,3.39,10.62
330,1.81,0.007879,97.04,41.46,0.5,5.7,10.45
331,0.83,0.00745,97.0,41.29,0.5,5.7,10.45
332,0.0,0.008593,97.0,42.11,0.51,5.82,10.4
333,0.0,0.008153,96.95,42.29,0.51,5.82,10.4
334,0.08,0.011739,97.07,42.96,0.59,6.7,10.38
335,0.11,0.011518,97.04,42.81,0.59,6.7,10.38
336,0.05,0.012711,96.92,43.62,0.64,7.32,10.37
337,0.03,0.012844,96.88,43.24,0.64,7.32,10.37
338,0.0,0.01031,96.71,45.02,0.68,7.79,10.73
339,0.0,0.01034,96.66,44.89,0.68,7.79,10.73
340,0.08,0.009743,96.73,44.1,0.45,5.08,11.0
341,0.07,0.009733,96.67,44.06,0.45,5.08,11.0
342,0.54,0.013159,96.95,42.49,0.61,6.96,10.86
343,0.17,0.013052,96.9,42.48,0.61,6.96,10.86
344,0.11,0.014341,97.12,42.79,0.4,4.57,11.1
345,0.08,0.014037,97.07,43.09,0.4,4.57,11.1
346,0.19,0.014369,97.02,44.17,0.46,5.28,10.91
347,0.25,0.014197,96.96,44.32,0.46,5.28,10.91
348,5.39,0.016186000000000002,96.87,41.85,0.44,5.02,10.81
349,6.75,0.016023,96.8,41.17,0.44,5.02,10.81
350,6.7,0.018024,97.01,37.3,0.34,3.9,10.58
351,5.71,0.017731,96.94,37.55,0.34,3.9,10.58
352,3.32,0.018448,96.95,36.74,0.41,4.67,10.54
353,4.18,0.018328,96.89,36.61,0.41,4.67,10.54
354,5.56,0.017686,97.04,36.32,0.49,5.61,10.69
355,4.9,0.017613999999999998,97.0,35.57,0.49,5.61,10.69
356,3.49,0.016753999999999998,96.99,35.01,0.39,4.38,10.41
357,1.89,0.016738,96.92,34.94,0.39,4.38,10.41
358,5.61,0.016199,97.1,34.63,0.65,7.37,10.52
359,6.44,0.016731,97.07,32.93,0.65,7.37,10.52
360,2.54,0.016204,97.38,34.82,0.58,6.63,10.69
361,5.58,0.016390000000000002,97.33,33.91,0.58,6.63,10.69
362,1.99,0.014782,97.6,35.56,0.57,6.44,10.6
363,3.09,0.014916999999999996,97.56,35.0,0.57,6.44,10.6
364,0.48,0.013736000000000002,97.7,36.31,0.38,4.33,10.02
365,0.43,0.013995,97.65,35.85,0.38,4.33,10.02
366,0.57,0.013006,97.64,36.27,0.46,5.25,9.96
367,0.93,0.013133,97.59,35.7,0.46,5.25,9.96
368,0.0,0.011933,97.35,37.06,0.47,5.29,10.66
369,0.0,0.012084,97.28,36.52,0.47,5.29,10.66
370,0.0,0.013662,97.23,37.46,0.48,5.47,10.68
371,0.0,0.01387,97.15,37.19,0.48,5.47,10.68
372,0.0,0.013681,97.22,38.3,0.54,6.11,10.8
373,0.01,0.014129,97.15,37.84,0.54,6.11,10.8
374,0.96,0.013601,97.22,39.34,0.43,4.91,10.63
375,2.78,0.014054,97.17,38.35,0.43,4.91,10.63
376,1.37,0.015694999999999997,97.46,37.43,0.48,5.38,10.68
377,2.05,0.016063,97.41,36.83,0.48,5.38,10.68
378,12.88,0.016859,97.46,32.67,0.25,2.84,10.65
379,10.34,0.01645,97.42,32.9,0.25,2.84,10.65
380,2.78,0.016305,97.29,34.64,0.38,4.29,10.49
381,5.49,0.016153,97.24,34.5,0.38,4.29,10.49
382,5.95,0.016394,97.34,34.8,0.43,4.89,10.52
383,3.94,0.015864,97.29,34.88,0.43,4.89,10.52
384,1.36,0.015028,97.45,36.4,0.49,5.49,10.1
385,1.71,0.015036,97.39,36.3,0.49,5.49,10.1
386,0.14,0.014922,97.35,37.19,0.51,5.73,10.4
387,0.84,0.015067,97.3,37.12,0.51,5.73,10.4
388,1.51,0.016697,97.3,37.24,0.08,0.95,10.62
389,0.44,0.016397,97.26,37.5,0.08,0.95,10.62
390,0.32,0.017815,97.32,37.01,0.49,5.55,10.54
391,0.09,0.017490000000000002,97.26,37.5,0.49,5.55,10.54
392,0.22,0.017564,97.25,35.09,0.52,5.85,10.7
393,0.11,0.017471,97.19,35.61,0.52,5.85,10.7
394,0.01,0.01718,97.05,37.7,0.46,5.13,10.83
395,0.05,0.017157,97.0,37.97,0.46,5.13,10.83
396,0.37,0.018414,97.06,34.38,0.5,5.61,10.8
397,0.6,0.018691,97.03,33.96,0.5,5.61,10.8
398,1.42,0.01756,97.33,31.96,0.49,5.48,10.39
399,2.56,0.017687,97.3,32.69,0.49,5.48,10.39
400,0.42,0.016486,97.43,34.14,0.4,4.51,10.4
401,0.08,0.016302,97.4,33.96,0.4,4.51,10.4
402,1.62,0.017525,97.39,33.52,0.47,5.28,10.54
403,1.34,0.017357,97.34,33.59,0.47,5.28,10.54
404,1.82,0.017498,97.31,33.68,0.21,2.38,10.26
405,2.41,0.017408,97.28,33.3,0.21,2.38,10.26
406,2.91,0.017071,97.34,33.4,0.42,4.7,10.68
407,1.39,0.016941,97.3,34.25,0.42,4.7,10.68
408,4.38,0.018033,97.31,33.84,0.48,5.34,10.47
409,1.77,0.017551,97.29,34.49,0.48,5.34,10.47
410,2.48,0.019134,97.29,32.42,0.52,5.77,10.64
411,1.77,0.018543,97.27,33.36,0.52,5.77,10.64
412,3.6,0.017838999999999997,97.48,31.39,0.5,5.55,10.75
413,2.91,0.017279,97.46,31.77,0.5,5.55,10.75
414,7.1,0.017786,97.66,29.91,0.36,4.01,10.51
415,2.77,0.017165,97.65,30.32,0.36,4.01,10.51
416,5.48,0.017188,97.71,30.23,0.41,4.53,10.29
417,3.98,0.016907,97.71,31.14,0.41,4.53,10.29
418,5.8,0.016806,97.79,31.15,0.29,3.22,10.32
419,4.6,0.016262000000000002,97.75,31.89,0.29,3.22,10.32
420,1.34,0.016919999999999998,97.84,33.46,0.43,4.69,10.3
421,2.55,0.017058,97.77,34.04,0.43,4.69,10.3
422,0.18,0.017048,97.95,32.97,0.24,2.65,10.46
423,0.19,0.016807,97.89,33.13,0.24,2.65,10.46
424,6.97,0.017942,97.92,29.81,0.21,2.34,10.54
425,12.28,0.018082,97.86,29.54,0.21,2.34,10.54
426,4.26,0.017138999999999998,97.71,32.24,0.45,4.94,10.42
427,5.96,0.017378,97.64,31.88,0.45,4.94,10.42
428,0.25,0.016041999999999997,97.5,34.1,0.38,4.16,11.03
429,0.29,0.016155000000000003,97.42,33.79,0.38,4.16,11.03
430,0.48,0.016102,97.5,33.94,0.53,5.81,10.81
431,1.0,0.015954,97.45,33.64,0.53,5.81,10.81
432,0.3,0.016949000000000002,97.47,35.16,0.5,5.42,10.41
433,0.38,0.016721,97.43,35.19,0.5,5.42,10.41
434,2.84,0.016865,97.52,35.03,0.57,6.15,10.38
435,0.75,0.01652,97.47,35.9,0.57,6.15,10.38
436,0.29,0.016777,97.6,33.81,0.58,6.28,10.64
437,0.16,0.015952,97.58,34.21,0.58,6.28,10.64
